market_id,market,countryiso3,admin1,admin2,latitude,longitude
8108,Marché de Coteaux,HTI,South,Coteaux,18.21,-74.04
8109,Marché de Tiburon,HTI,South,Tiburon,18.33,-74.4
8110,Marché de Ile A Vache,HTI,South,Ile a Vache,18.09,-73.65
8111,Marché publique et communal de Chantal,HTI,South,Chantal,18.2,-73.89
8112,Marché de La Tortue,HTI,North-West,La Tortue,20.02,-72.73
8113,Marché de Baie De Henne,HTI,North-West,Baie de Henne,19.66,-73.21
8114,Marché de Port De Paix,HTI,North-West,Port-de-Paix,19.94,-72.83
8115,Marché de Paillant,HTI,Nippes,Paillant,18.42,-73.15
8116,Marché de Grand Boucan,HTI,Nippes,Grand-Boucan,18.55,-73.59
8117,Marché de Miragoane,HTI,Nippes,Miragoane,18.45,-73.09
10805,Marche Previle,HTI,Grande'Anse,Jeremie,18.54,-74.16
