countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
HTI,Haiti,,national,,2026-01-16,SURVEY,7874942,0.6624581350632534,7088923,0.59633642387404,,,9360746,0.7874473629580561
HTI,Haiti,,national,,2026-01-15,SURVEY,7937070,0.6676845057827905,7019935,0.5905329954533586,,,9414600,0.7919776880091948
HTI,Haiti,,national,,2026-01-14,SURVEY,8043271,0.6766183614055018,7014001,0.5900338137949785,,,9443994,0.7944504023950268
HTI,Haiti,,national,,2026-01-13,SURVEY,8025005,0.675081783688621,7033212,0.5916498870742403,,,9382214,0.7892533002186103
HTI,Haiti,,national,,2026-01-12,SURVEY,8059482,0.6779820678200618,6950641,0.5847038256124776,,,9415184,0.7920267900235847
HTI,Haiti,,national,,2026-01-11,SURVEY,8114763,0.6826324776293353,7051621,0.5931984942783385,,,,
HTI,Haiti,,national,,2026-01-10,SURVEY,8162548,0.6866522096853905,7098615,0.5971517370916031,,,,
HTI,Haiti,,national,,2026-01-09,SURVEY,8104765,0.6817913773981582,7211555,0.606652604368041,,,,
HTI,Haiti,,national,,2026-01-08,SURVEY,8426815,0.7088829633661923,7341068,0.6175474382407808,,,,
HTI,Haiti,,national,,2026-01-07,SURVEY,8202587,0.6900203878777764,7197323,0.6054552799185965,,,,
HTI,Haiti,,national,,2026-01-06,SURVEY,8275680,0.6961691511814144,7246176,0.609564906065688,,,,
HTI,Haiti,,national,,2026-01-05,SURVEY,8301997,0.6983830034763343,7247727,0.6096953797347389,,,,
HTI,Haiti,,national,,2026-01-04,SURVEY,8306054,0.6987242656757715,7305184,0.614528794049795,,,,
HTI,Haiti,,national,,2026-01-03,SURVEY,8326685,0.7004597925968771,7297469,0.6138797905960703,,,,
HTI,Haiti,,national,,2026-01-02,SURVEY,8341632,0.7017171744568094,7249558,0.6098494076444951,,,,
HTI,Haiti,,national,,2026-01-01,SURVEY,8370791,0.7041701023140999,7309498,0.6148916976012361,,,,
HTI,Haiti,,national,,2025-12-31,SURVEY,8447662,0.7106366485172205,7445375,0.626321981759596,,,,
HTI,Haiti,,national,,2025-12-30,SURVEY,8404889,0.7070384828945323,7427949,0.6248560667648317,,,,
HTI,Haiti,,national,,2025-12-29,SURVEY,8581312,0.7218796151600351,7440319,0.6258966594702853,,,,
HTI,Haiti,,national,,2025-12-28,SURVEY,8560397,0.7201201931023381,7446266,0.6263969347184124,,,9497969,0.7989908721387395
